episode,reward,moving_avg_reward,epsilon,loss,deliveries,steps
464,5.3400,3.4980,0.0972,0.000035,0,150
465,5.3933,3.4681,0.0967,0.000048,0,150
466,3.4033,3.4795,0.0962,0.000037,0,150
467,3.2867,3.4941,0.0958,0.000014,0,150
468,5.3933,3.5295,0.0953,0.000017,0,150
469,3.1000,3.5854,0.0948,0.000022,0,150
470,3.2733,3.6284,0.0943,0.000015,0,150
471,3.3533,3.6737,0.0939,0.000016,0,150
472,3.3533,3.7175,0.0934,0.000040,0,150
473,3.2600,3.7602,0.0929,0.000054,0,150
474,3.2733,3.8233,0.0925,0.000019,0,150
475,3.1400,3.8438,0.0920,0.000067,0,150
476,3.1133,3.8197,0.0915,0.000009,0,150
477,5.1400,3.7904,0.0911,0.000013,0,150
478,3.1800,3.7795,0.0906,0.000022,0,150
479,3.2867,3.7259,0.0902,0.000014,0,150
480,3.3500,3.6799,0.0897,0.000036,0,150
481,3.2733,3.6331,0.0893,0.000045,0,150
482,3.2333,3.5857,0.0888,0.000047,0,150
483,3.3000,3.5366,0.0884,0.000026,0,150
484,3.3267,3.4879,0.0879,0.000027,0,150
485,3.2733,3.4605,0.0875,0.000020,0,150
486,3.3533,3.4569,0.0871,0.000042,0,150
487,3.2867,3.4586,0.0866,0.000040,0,150
488,3.3400,3.4232,0.0862,0.000012,0,150
489,3.3400,3.4116,0.0858,0.000047,0,150
490,3.2867,3.3986,0.0853,0.000018,0,150
491,3.0467,3.3842,0.0849,0.000021,0,150
492,3.3633,3.3684,0.0845,0.000035,0,150
493,3.4200,3.3551,0.0841,0.000033,0,150
494,3.3267,3.3425,0.0836,0.000045,0,150
495,3.3133,3.3295,0.0832,0.000025,0,150
496,3.2867,3.3155,0.0828,0.000037,0,150
497,3.3267,3.2984,0.0824,0.000045,0,150
498,3.3133,3.3003,0.0820,0.000034,0,150
499,5.2200,3.3003,0.0816,0.000036,0,150
500,3.3000,3.3185,0.0812,0.000030,0,150
501,3.1400,3.3376,0.0808,0.000053,0,150
502,3.1000,3.3598,0.0804,0.000068,0,150
503,3.3267,3.3781,0.0800,0.000026,0,150
504,3.3533,3.3943,0.0796,0.000064,0,150
505,3.2467,3.4107,0.0792,0.000047,0,150
506,3.4200,3.4261,0.0788,0.000025,0,150
507,3.4067,3.4434,0.0784,0.000056,0,150
508,5.3000,3.4612,0.0780,0.000021,0,150
509,5.2067,3.4991,0.0776,0.000011,0,150
510,3.1800,3.5181,0.0772,0.000052,0,150
511,7.2467,3.5357,0.0768,0.000023,0,150
512,3.2333,3.5935,0.0764,0.000017,0,150
513,3.3000,3.6552,0.0760,0.000014,0,150
514,3.2067,3.7176,0.0757,0.000020,0,150
515,3.2200,3.7783,0.0753,0.000045,0,150
516,3.3533,3.8393,0.0749,0.000027,0,150
517,3.3533,3.8984,0.0745,0.000013,0,150
518,3.3267,3.9561,0.0742,0.000020,0,150
519,5.2333,3.9743,0.0738,0.000038,0,150
520,3.2600,3.9928,0.0734,0.000031,0,150
521,3.5133,4.0133,0.0731,0.000041,1,150
522,3.3533,3.9555,0.0727,0.000023,0,150
523,3.3533,3.8975,0.0723,0.000018,0,150
524,3.1533,3.8403,0.0720,0.000035,0,150
525,3.3667,3.7840,0.0716,0.000063,0,150
526,3.3800,3.7295,0.0712,0.000052,0,150
527,3.2200,3.6759,0.0709,0.000053,0,150
528,3.7133,3.6215,0.0705,0.000026,1,150
529,2.9933,3.5907,0.0702,0.000227,0,150
530,2.7500,3.5372,0.0698,0.000028,0,150
531,3.2333,3.4778,0.0695,0.000052,0,150
