episode,reward,moving_avg_reward,epsilon,loss,deliveries,steps
398,2.2600,2.7102,0.1353,0.000158,0,100
399,4.7400,2.7152,0.1347,0.000235,0,100
400,2.5400,2.7433,0.1340,0.000237,0,100
401,3.0000,2.7699,0.1333,0.000262,1,100
402,2.7200,2.8014,0.1326,0.000182,0,100
403,2.6400,2.8328,0.1320,0.000226,0,100
404,2.5800,2.8625,0.1313,0.000276,0,100
405,2.7200,2.9019,0.1307,0.000165,0,100
406,2.7750,2.9030,0.1300,0.000089,0,100
407,2.6000,2.9137,0.1294,0.000261,0,100
408,2.4600,2.9199,0.1287,0.000102,0,100
409,2.6600,2.9328,0.1281,0.000159,0,100
410,2.6800,2.9034,0.1274,0.000245,0,100
411,2.6200,2.8775,0.1268,0.000200,0,100
412,2.7600,2.8435,0.1262,0.000219,0,100
413,2.5800,2.8098,0.1255,0.000127,0,100
414,2.6550,2.7764,0.1249,0.000143,0,100
415,2.7000,2.7395,0.1243,0.000171,0,100
416,3.0000,2.7210,0.1237,0.000289,1,100
417,2.8600,2.6998,0.1230,0.000222,0,100
418,4.7800,2.6838,0.1224,0.000200,0,100
419,2.4600,2.6890,0.1218,0.000392,0,100
420,4.3800,2.7130,0.1212,0.000129,0,100
421,2.5400,2.7526,0.1206,0.000316,0,100
422,2.8800,2.7952,0.1200,0.000207,0,100
423,2.7800,2.8386,0.1194,0.000177,0,100
424,2.5200,2.8846,0.1188,0.000255,0,100
425,4.7800,2.9285,0.1182,0.000184,0,100
426,2.6400,2.9934,0.1176,0.000115,1,100
427,2.4400,3.0524,0.1170,0.000189,0,100
428,2.6000,3.1047,0.1164,0.000269,0,100
429,4.4750,3.1119,0.1159,0.000163,0,100
430,2.7000,3.1413,0.1153,0.000206,0,100
431,2.5800,3.1369,0.1147,0.000199,0,100
432,2.7750,3.1337,0.1141,0.000202,0,100
433,2.5000,3.1283,0.1136,0.000121,0,100
434,2.6400,3.1180,0.1130,0.000133,0,100
435,2.7400,3.1103,0.1124,0.000168,0,100
436,2.7200,3.0614,0.1119,0.000127,0,100
437,2.8800,3.0169,0.1113,0.000175,0,100
438,2.6350,2.9810,0.1107,0.000091,0,100
439,2.7800,2.9673,0.1102,0.000115,0,100
440,4.7800,2.9164,0.1096,0.000181,0,100
441,2.6400,2.9032,0.1091,0.000269,0,100
442,1.8000,2.8901,0.1085,0.000134,0,100
443,2.7200,2.8684,0.1080,0.000179,0,100
444,2.6200,2.8516,0.1075,0.000160,0,100
445,2.5950,2.8335,0.1069,0.000186,0,100
446,2.8600,2.8343,0.1064,0.000153,0,100
447,4.5600,2.8357,0.1059,0.000172,0,100
448,2.7200,2.8495,0.1053,0.000231,0,100
449,2.7200,2.8638,0.1048,0.000215,0,100
450,2.4400,2.8944,0.1043,0.000102,0,100
451,2.5200,2.8809,0.1038,0.000228,0,100
452,4.5200,2.8655,0.1032,0.000143,0,100
453,2.9400,2.8871,0.1027,0.000133,0,100
454,3.2000,2.9087,0.1022,0.000134,1,100
455,4.5350,2.9363,0.1017,0.000143,0,100
456,2.7800,2.9848,0.1012,0.000225,0,100
457,2.6400,3.0310,0.1007,0.000187,0,100
458,4.6600,3.0413,0.1002,0.000214,0,100
459,4.8800,3.0701,0.0997,0.000141,0,100
460,2.7200,3.1211,0.0992,0.000186,0,100
461,2.8400,3.1983,0.0987,0.000234,0,100
462,4.7400,3.2799,0.0982,0.000178,0,100
463,2.7550,3.3365,0.0977,0.000099,0,100
464,2.7200,3.3890,0.0972,0.000198,0,100
465,3.1800,3.4310,0.0967,0.000186,1,100
466,2.6000,3.4400,0.0962,0.000259,0,100
467,4.8000,3.4480,0.0958,0.000179,0,100
468,2.8200,3.4968,0.0953,0.000235,0,100
469,2.3550,3.5078,0.0948,0.000140,0,100
470,2.5000,3.4719,0.0943,0.000077,0,100
471,2.5600,3.4311,0.0939,0.000270,0,100
472,2.7000,3.3842,0.0934,0.000191,0,100
473,4.7600,3.3148,0.0929,0.000169,0,100
474,2.7800,3.2672,0.0925,0.000186,0,100
475,4.8000,3.2251,0.0920,0.000214,0,100
476,2.7000,3.2127,0.0915,0.000153,0,100
477,2.8400,3.2031,0.0911,0.000159,0,100
478,2.7200,3.1523,0.0906,0.000110,0,100
479,3.1600,3.1189,0.0902,0.000230,1,100
480,2.8200,3.1188,0.0897,0.000113,0,100
481,2.7600,3.1241,0.0893,0.000203,0,100
482,2.8200,3.1342,0.0888,0.000245,0,100
483,3.0200,3.1659,0.0884,0.000210,1,100
484,4.6150,3.1601,0.0879,0.000188,0,100
485,2.7600,3.1721,0.0875,0.000113,0,100
486,3.2800,3.1475,0.0871,0.000253,1,100
487,2.5600,3.1277,0.0866,0.000151,0,100
488,2.9000,3.1247,0.0862,0.000096,0,100
489,4.8000,3.1245,0.0858,0.000199,0,100
490,2.8000,3.1327,0.0853,0.000097,0,100
491,2.8800,3.1374,0.0849,0.000290,0,100
492,2.5800,3.1414,0.0845,0.000220,0,100
493,2.6600,3.1417,0.0841,0.000183,0,100
494,2.6600,3.1559,0.0836,0.000153,0,100
495,3.0200,3.1321,0.0832,0.000104,1,100
496,2.7200,3.1314,0.0828,0.000182,0,100
497,2.8400,3.1192,0.0824,0.000187,0,100
498,2.7600,3.1127,0.0820,0.000132,0,100
499,4.8400,3.1029,0.0816,0.000270,0,100
