episode,reward,moving_avg_reward,epsilon,loss,deliveries,steps
431,11.1600,11.1861,0.1147,0.000051,0,250
432,11.6000,11.1876,0.1141,0.000046,0,250
433,11.2100,11.1927,0.1136,0.000054,0,250
434,11.6100,11.2030,0.1130,0.000073,0,250
435,11.1800,11.2144,0.1124,0.000055,0,250
436,11.5000,11.2243,0.1119,0.000065,0,250
437,11.4300,11.2391,0.1113,0.000044,0,250
438,11.5500,11.2615,0.1107,0.000052,0,250
439,11.2800,11.2761,0.1102,0.000041,0,250
440,11.4300,11.2957,0.1096,0.000056,0,250
441,11.1800,11.3148,0.1091,0.000078,0,250
442,11.0200,11.3311,0.1085,0.000075,0,250
443,11.4200,11.3394,0.1080,0.000055,0,250
444,10.8800,11.3493,0.1075,0.000067,0,250
445,11.3800,11.3488,0.1069,0.000074,0,250
446,11.1500,11.3513,0.1064,0.000052,0,250
447,11.7400,11.3465,0.1059,0.000087,1,250
448,9.9500,11.3410,0.1053,0.000077,0,250
449,11.1300,11.3189,0.1048,0.000084,0,250
450,10.8400,11.2931,0.1043,0.000054,0,250
451,11.4500,11.2605,0.1038,0.000080,0,250
452,11.3200,11.2304,0.1032,0.000061,0,250
453,11.4600,11.2091,0.1027,0.000123,0,250
454,11.9600,11.1861,0.1022,0.000083,1,250
455,11.4700,11.1812,0.1017,0.000169,1,250
456,11.0500,11.1752,0.1012,0.000084,0,250
457,11.2100,11.1717,0.1007,0.000104,0,250
458,11.2400,11.1598,0.1002,0.000077,0,250
459,11.2300,11.1768,0.0997,0.000117,0,250
460,11.7000,11.1963,0.0992,0.000097,1,250
461,11.3400,11.2303,0.0987,0.000157,0,250
462,11.2000,11.2605,0.0982,0.000090,0,250
463,11.3600,11.2865,0.0977,0.000086,0,250
464,11.2100,11.3111,0.0972,0.000068,0,250
465,11.4300,11.3174,0.0967,0.000096,0,250
466,11.3100,11.3224,0.0962,0.000061,0,250
467,11.0500,11.3310,0.0958,0.000068,0,250
468,11.1300,11.3433,0.0953,0.000157,0,250
469,11.5000,11.3416,0.0948,0.000142,0,250
470,11.6600,11.3416,0.0943,0.000060,0,250
471,11.4200,11.3326,0.0939,0.000061,0,250
472,11.5100,11.3255,0.0934,0.000047,0,250
473,11.5300,11.3227,0.0929,0.000045,0,250
474,11.0300,11.3226,0.0925,0.000068,0,250
475,11.5100,11.3282,0.0920,0.000047,0,250
476,11.7600,11.3350,0.0915,0.000046,0,250
477,11.6000,11.3437,0.0911,0.000044,0,250
478,11.4600,11.3595,0.0906,0.000072,0,250
479,11.6800,11.3797,0.0902,0.000039,0,250
480,11.6500,11.3990,0.0897,0.000044,0,250
481,10.8600,11.4186,0.0893,0.000038,0,250
482,11.1900,11.4318,0.0888,0.000050,0,250
483,11.7200,11.4387,0.0884,0.000056,0,250
484,11.5600,11.4458,0.0879,0.000047,0,250
485,11.6800,11.4600,0.0875,0.000047,0,250
486,11.4700,11.4751,0.0871,0.000057,0,250
487,11.5700,11.4828,0.0866,0.000049,0,250
488,11.5200,11.4847,0.0862,0.000056,0,250
489,11.4400,11.4839,0.0858,0.000041,0,250
490,11.2700,11.4789,0.0853,0.000187,1,250
491,11.2800,11.4702,0.0849,0.000048,0,250
492,11.1700,11.4713,0.0845,0.000061,0,250
493,11.6800,11.4754,0.0841,0.000047,0,250
494,11.6200,11.4772,0.0836,0.000126,0,250
495,11.4300,11.4743,0.0832,0.000041,0,250
496,11.5000,11.4672,0.0828,0.000119,0,250
497,11.5000,11.4633,0.0824,0.000159,0,250
498,11.3100,11.4590,0.0820,0.000088,0,250
499,11.3975,11.4520,0.0816,0.000063,0,250
500,11.2300,11.4470,0.0812,0.000097,0,250
501,11.5800,11.4454,0.0808,0.000115,0,250
502,11.7700,11.4425,0.0804,0.000090,0,250
503,11.6400,11.4459,0.0800,0.000074,0,250
504,11.6000,11.4493,0.0796,0.000043,0,250
505,11.7600,11.4519,0.0792,0.000077,0,250
506,11.7400,11.4602,0.0788,0.000043,0,250
507,11.4200,11.4707,0.0784,0.000052,0,250
508,11.8300,11.4811,0.0780,0.000034,0,250
509,11.8700,11.4988,0.0776,0.000046,0,250
510,11.5300,11.5216,0.0772,0.000039,0,250
511,11.4900,11.5478,0.0768,0.000030,0,250
512,11.8600,11.5701,0.0764,0.000038,0,250
513,11.7100,11.5874,0.0760,0.000048,0,250
514,11.7400,11.6057,0.0757,0.000026,0,250
515,11.7000,11.6256,0.0753,0.000042,0,250
516,11.8500,11.6416,0.0749,0.000036,0,250
517,11.6200,11.6564,0.0745,0.000041,0,250
518,11.6700,11.6739,0.0742,0.000053,0,250
519,11.7800,11.6846,0.0738,0.000028,0,250
520,11.7500,11.6897,0.0734,0.000073,0,250
521,11.3800,11.6940,0.0731,0.000041,0,250
522,11.7800,11.6981,0.0727,0.000041,0,250
523,11.8100,11.7005,0.0723,0.000031,0,250
524,11.6400,11.7032,0.0720,0.000071,0,250
525,11.7000,11.7035,0.0716,0.000060,0,250
526,11.5900,11.7044,0.0712,0.000072,0,250
527,11.8700,11.7016,0.0709,0.000076,0,250
528,11.5900,11.6993,0.0705,0.000043,0,250
529,11.7000,11.6978,0.0702,0.000038,0,250
530,11.7800,11.6964,0.0698,0.000037,0,250
531,11.7800,11.6931,0.0695,0.000031,0,250
